Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2_alarcon_ca.csv;0.261;0.3755;0;0.7805;0.1135;0.6355;1;0;0;0.754;0.0435;0.275;0;0.453;0.073;0;0.562;0.5965;0.403;0.3285;0.4385;0.1405;0.804;0.0035;0.5585;0.0275;0;0.7125;0.128;0.4965;0.906;0
4_Ortiz-Pulido_pino-ensino.csv;0.0255;0;0;0;0;0;0.9195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Ortiz-Pulido_bosques.csv;0.114666667;0;0;0;0;0;0.954333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027;0.007;0;0;0;0;0;0;0;0;0;0
6_Ortiz-Pulido_matorral.csv;0.118333333;0;0;0;0;0;0.998666667;0.062;0.001;0;0;0.015333333;0;0;0;0;0;0;0;0;0.038333333;0.029666667;0;0;0;0;0;0.019333333;0;0.023;0;0
7_Ortiz-Pulido_pachuca.csv;0;0;0;0;0;0;0.901166667;0;0;0;0;0;0;0;0.004166667;0;0;0;0;0;0;0;0.003666667;5.00E-04;0.016666667;0;0;0;0;0;0;0
8_arizmendi.csv;0.31925;0.06075;0.096;0.6415;0.492;0.39;0.631;0.6295;0.2295;0.29925;0.557;0.22375;0.2865;0.36325;0.267;0.5935;0.02875;0.04975;0.34325;0.22825;0.03975;0.12325;0.26375;0.4935;0.72475;0.153;0.4545;0.518;0.3285;0.3715;0.68225;0.4075
9_ornelas.csv;0.007;0.044833333;0.071916667;0.00075;0.000416667;0.011166667;0.569833333;0.026833333;0;0.015;0.003833333;0;0.065;0;0.095666667;0;0;0.002166667;0;0;0.022916667;0;0.139166667;0.183666667;0.28575;0.027833333;0.001333333;0.022583333;0.011333333;0.0025;0.022333333;0.015833333
10_lara3.csv;0.138;0.142636364;0.077727273;0.055818182;0.078818182;0.102454545;0.662909091;0.223727273;0.014;0.155818182;0.085454545;0.067363636;0.148909091;0.021090909;0.066818182;0.025818182;0.043090909;0.065090909;0.035909091;0.044454545;0.060090909;0.008181818;0.087454545;0.188545455;0.410818182;0.239909091;0.064090909;0.140363636;0.097090909;0.091454545;0.180545455;0.071454545
11_lara2.csv;0.1424;0.0102;0.0218;0.042;0.0418;0.0426;0.827;0.1712;0.0458;0.037;0.017;0.0812;0.0162;0.0284;0.0226;0.0188;0.0114;0.0188;0.0156;0.0096;0.0434;0.0496;0.0174;0.0378;0.2176;0.16;0.0398;0.0416;0.0338;0.082;0.0654;0.0074
12_lara1.csv;0.175;0.027;0.0055;0.121333333;0.082166667;0.1015;0.698833333;0.335833333;0.0385;0.103833333;0.026166667;0.100166667;0.157;0.040166667;0.058666667;0.066;0.045666667;0.106833333;0.095166667;0.011833333;0.036833333;0.039;0.044166667;0.084333333;0.350833333;0.178833333;0.054666667;0.084833333;0.129333333;0.160333333;0.213666667;0.075333333
20_snow72.csv;0.549555556;0.038666667;0.287555556;0.422888889;0.331666667;0.626777778;0.861777778;0.688666667;0.616111111;0.118555556;0.179777778;0.032777778;0.464444444;0.123777778;0.120222222;0.058;0.132111111;0.065444444;0.042444444;0.071888889;0.530333333;0.491;0.233555556;0.232888889;0.205666667;0.053444444;0.046111111;0.168666667;0.674;0.791444444;0.273;0.366333333
21_mang50.csv;0.4255;0.144375;0;0;0;0;0.01225;0.493375;0.00025;0.0645;0.323125;0.5285;0;0.65775;0;0.726875;0;0;0;0.109125;0.77025;0.41125;0;0;0;0.768;0.341625;0.8245;0.004125;0.0115;0;0
22_mang1000.csv;0.577875;0.216375;0;0;0;0;0.527125;0.646375;0.0495;0.081625;0.453125;0.660875;0;0.765875;0;0.7825;0;0;0;0.157875;0.818625;0.54025;0;0;0;0.81675;0.451875;0.884625;0.055;0.13525;0;0
23_mang2000.csv;0.717;0.280222222;0;0;0;0;0.747222222;0.853888889;0.102444444;0.102444444;0.599777778;0.834333333;0;0.919666667;0;0.924888889;0;0;0.003666667;0.255666667;0.960444444;0.675111111;0;0;0;0.949111111;0.586888889;0.977111111;0.133777778;0.257;0;0
24_wolf1.csv;0.10175;0;0.165;0;0.301;0.86225;1;0.534;0;0.004;0.30475;0.056;0.18025;0.43925;0.01175;0.1335;0;0.19125;0;0;0.54575;0.02175;0.32325;0.22475;0.239;0.3485;0.0285;0.89125;0;0.0425;0.592;0.4005
25_wolf2.csv;0.477;0.0294;0.0394;0.0462;0.121;0.7686;1;0.9054;0.2372;0.024;0.2294;0.449;0.0458;0.7838;0.0152;0.3732;0.0274;0.0348;0.039;0.1922;0.8162;0.2418;0.1644;0.2804;0.2694;0.6642;0.228;0.9852;0.0502;0.2836;0.5926;0.2042
26_snow803.csv;0.029333333;0.182666667;0;0.019833333;0.001166667;0;0.871833333;0.007;0.004166667;0.089333333;0.009333333;0;0;0;0.151833333;0.020166667;0.002833333;0.028833333;0.007833333;0.042166667;0.024166667;0.001166667;0;0.085166667;0;0.138166667;0.0595;0.220833333;0.001333333;0;0;0.003666667
27_snow802.csv;0.235583333;0.50775;0.005333333;0.034;0.036583333;0.005833333;0.783333333;0.076666667;0.083;0.25925;0.056166667;0.023833333;0;0.015916667;0.35225;0.14475;0;0.037833333;0.001833333;0.076666667;0.172333333;0.020416667;0;0.080583333;0.004583333;0.4315;0.302833333;0.5295;0.005;0.015166667;0;0.071333333
